league,opp,opp2,result,conf,ROI,date,confidence,classif_odds,book_odds
laliga,Valencia,Mallorca,1X,High conf,+19,23.10.21,0.89,1.00,1.23
laliga,Cadiz,Alaves,<2.5,Med conf,+18,23.10.21,0.88,1.41,1.90
laliga,Elche,Espanol,X,Med conf,+38,23.10.21,0.88,1.41,3.02
laliga,Ath Bilbao,Villarreal,1X,High conf,+32,23.10.21,0.89,1.00,1.47
tipico-bundesliga,Admira,Tirol,X,High conf,+51,23.10.21,0.83,1.25,3.46
tipico-bundesliga,Austria Vienna,Ried,1X,High conf,+19,23.10.21,0.67,1.00,1.24
tipico-bundesliga,Wolfsberger AC,A. Klagenfurt,X2,Low conf,-39,23.10.21,0.00,100000.00,2.59
allsvenskan,Djurgarden,Kalmar,12,Med conf,+1,23.10.21,0.80,1.33,1.36
allsvenskan,Hacken,Halmstad,1,High conf,+33,23.10.21,0.94,1.22,2.05
primeira-liga,Tondela,Porto,2,Med conf,-8,23.10.21,0.91,1.43,1.29
primeira-liga,Sp Lisbon,Moreirense,1,Med conf,-14,23.10.21,0.95,1.49,1.24
jupiler-league,Cercle Brugge,Standard,2,Low conf,+19,23.10.21,0.93,1.85,2.83
jupiler-league,Kortrijk,Oostende,2,Low conf,+27,23.10.21,0.93,1.85,3.65
jupiler-league,Mechelen,Waregem,1X,Med conf,-14,23.10.21,0.75,1.49,1.23
jupiler-league,Eupen,St. Gilloise,2,Low conf,-4,23.10.21,0.93,1.85,1.73
ligue-1,Nantes,Clermont,X2,Low conf,-22,23.10.21,0.75,3.03,1.82
ligue-1,Lille,Brest,1X,High conf,-3,23.10.21,0.94,1.23,1.20
championship,Cardiff,Middlesbrough,>2.5,Low conf,-33,23.10.21,0.94,5.00,1.90
championship,Birmingham,Swansea,1,High conf,+43,23.10.21,0.96,1.20,2.51
championship,Blackburn,Reading,12,Med conf,-2,23.10.21,0.88,1.41,1.38
championship,Blackpool,Preston,>2.5,Low conf,-33,23.10.21,0.94,5.00,1.90
championship,Bournemouth,Huddersfield,1X,High conf,+6,23.10.21,0.90,1.12,1.21
championship,Coventry,Derby,>2.5,Low conf,-33,23.10.21,0.94,5.00,1.90
championship,Millwall,Stoke,>2.5,Low conf,-33,23.10.21,0.94,5.00,1.90
championship,Peterboro,QPR,X2,Low conf,-15,23.10.21,0.92,1.72,1.37
championship,West Brom,Bristol City,1,High conf,+15,23.10.21,0.96,1.20,1.46
bundesliga,Bielefeld,Dortmund,2,Med conf,-5,23.10.21,0.91,1.67,1.54
bundesliga,Bayern Munich,Hoffenheim,1,High conf,-0,23.10.21,0.93,1.18,1.17
bundesliga,RB Leipzig,Greuther Furth,12,High conf,-2,23.10.21,0.94,1.15,1.12
bundesliga,Wolfsburg,Freiburg,12,High conf,+17,23.10.21,0.94,1.15,1.43
bundesliga,Hertha,M'gladbach,2,Med conf,+12,23.10.21,0.91,1.67,2.07
ekstraklasa,Rakow,Termalica B-B.,1,Med conf,+0,23.10.21,0.96,1.47,1.48
ekstraklasa,Lechia Gdansk,Gornik Z.,12,Low conf,-21,23.10.21,0.80,2.00,1.41
ekstraklasa,Pogon Szczecin,Jagiellonia,1,Med conf,+12,23.10.21,0.96,1.47,1.79
ekstraklasa,Wisla,Slask Wroclaw,>2.5,Med conf,+18,23.10.21,0.88,1.41,1.90
serie-a,Salernitana,Empoli,12,Low conf,-21,23.10.21,0.86,2.00,1.41
serie-a,Sassuolo,Venezia,1X,Med conf,-8,23.10.21,0.80,1.33,1.21
serie-a,Bologna,Milan,X2,Low conf,-20,23.10.21,0.89,2.00,1.42
serie-a,Juventude,Ceara,12,Med conf,+8,23.10.21,0.80,1.33,1.49
serie-a,Santos,America MG,1,Med conf,+34,23.10.21,0.96,1.30,2.34
liga-1,FC Voluntari,FC Arges,1,Low conf,+10,23.10.21,0.94,1.89,2.33
liga-1,Mioveni,FC Botosani,1X,Med conf,+12,23.10.21,0.92,1.49,1.82
liga-1,Din. Bucuresti,FC Rapid Bucuresti,X2,Low conf,-25,23.10.21,0.86,2.00,1.34
super-league,Young Boys,Lausanne,1X,Low conf,-93,23.10.21,0.00,100000.00,1.07
super-league,Grasshoppers,Zurich,X,Low conf,+5,23.10.21,0.86,3.03,3.57
eredivisie,Utrecht,Heerenveen,12,High conf,+1,23.10.21,0.83,1.25,1.27
eredivisie,Zwolle,Heracles,1X,Med conf,+11,23.10.21,0.86,1.49,1.78
eredivisie,Waalwijk,Sparta Rotterdam,2,High conf,+46,23.10.21,0.93,1.18,2.57
premier-league,Chelsea,Norwich,1,Med conf,-24,23.10.21,0.95,1.67,1.19
premier-league,Crystal Palace,Newcastle,1X,Low conf,-22,23.10.21,0.93,1.85,1.32
premier-league,Everton,Watford,12,High conf,+26,23.10.21,0.89,1.00,1.36
premier-league,Leeds,Wolves,1,Med conf,+21,23.10.21,0.95,1.67,2.59
premier-league,Southampton,Burnley,1X,Low conf,-20,23.10.21,0.93,1.85,1.34
premier-league,Brighton,Man City,>2.5,Med conf,+18,23.10.21,0.93,1.41,1.90
laliga,Sevilla,Levante,1,High conf,+13,24.10.21,0.95,1.23,1.46
laliga,Barcelona,Real Madrid,X2,Low conf,-14,24.10.21,0.86,2.00,1.56
laliga,Betis,Vallecano,1,High conf,+26,24.10.21,0.95,1.23,1.82
laliga,Ath Madrid,Sociedad,1X,High conf,+17,24.10.21,0.80,1.00,1.20
tipico-bundesliga,LASK,Altach,1,High conf,+22,24.10.21,0.94,1.08,1.41
tipico-bundesliga,Hartberg,Rapid Vienna,X2,High conf,+28,24.10.21,0.80,1.00,1.38
tipico-bundesliga,Salzburg,Sturm Graz,X,Low conf,+20,24.10.21,0.89,2.63,5.59
allsvenskan,Hammarby,Ostersunds,1X,High conf,+9,24.10.21,0.83,1.00,1.10
allsvenskan,Elfsborg,Sirius,1X,High conf,+16,24.10.21,0.83,1.00,1.19
allsvenskan,Mjallby,Goteborg,1,High conf,+38,24.10.21,0.94,1.22,2.25
allsvenskan,AIK,Norrkoping,1,High conf,+32,24.10.21,0.94,1.22,1.99
allsvenskan,Varbergs,Malmo FF,12,Med conf,-8,24.10.21,0.92,1.49,1.33
superliga,Brondby,FC Copenhagen,X2,Low conf,-19,24.10.21,0.86,2.00,1.46
superliga,Silkeborg,Odense,1,High conf,+44,24.10.21,0.93,1.09,2.07
superliga,Randers FC,Aarhus,>2.5,Low conf,-3,24.10.21,0.67,2.00,1.90
superliga,Midtjylland,Sonderjyske,12,Med conf,-6,24.10.21,0.80,1.33,1.24
primeira-liga,Pacos Ferreira,Arouca,1X,High conf,+12,24.10.21,0.88,1.16,1.35
primeira-liga,Vizela,Benfica,X2,High conf,-3,24.10.21,0.86,1.20,1.16
primeira-liga,Portimonense,Estoril,1X,High conf,+18,24.10.21,0.88,1.16,1.46
jupiler-league,Antwerp,Club Brugge,1X,Low conf,+4,24.10.21,0.86,2.00,2.18
jupiler-league,Genk,Gent,12,High conf,+7,24.10.21,0.91,1.25,1.37
