league,opp,opp2,result,conf,ROI,date,outcome
primera-division,Eibar,Huesca,1X,Low conf,-25,19.08.18,lose
primera-division,Vallecano,Sevilla,X2,Low conf,-59,19.08.18,win
primera-division,Real Madrid,Getafe,1,Med conf,-7,19.08.18,win
liga-1,FC Steaua Bucuresti,Sepsi,<2.5,Med conf,+44,19.08.18,win
liga-1,CFR Cluj,Din. Bucuresti,1X,High conf,+47,19.08.18,win
primeira-liga,Nacional,Moreirense,<2.5,Med conf,+37,19.08.18,lose
primeira-liga,Rio Ave,Maritimo,12,Med conf,+24,19.08.18,win
primeira-liga,Belenenses,Porto,X2,Low conf,-67,19.08.18,win
jupiler-league,Antwerp,Club Brugge,1X,High conf,+80,19.08.18,win
jupiler-league,Genk,Charleroi,1X,Low conf,-43,19.08.18,win
jupiler-league,Eupen,Gent,<2.5,Low conf,+8,19.08.18,lose
ligue-1,Strasbourg,St Etienne,X2,Low conf,-1,19.08.18,win
ligue-1,Toulouse,Bordeaux,X2,Low conf,-78,19.08.18,lose
ligue-1,Nimes,Marseille,X2,Med conf,-6,19.08.18,lose
mls,Atlanta United,Columbus Crew,>1.5,High conf,+25,19.08.18,win
super-lig,Akhisar Belediyespor,Rizespor,>2.5,Low conf,+9,19.08.18,lose
super-lig,Antalyaspor,Konyaspor,1,Med conf,+40,19.08.18,lose
championship,Brentford,Sheffield Weds,X2,Med conf,+121,19.08.18,lose
serie-a,Torino,Roma,2,Med conf,+86,19.08.18,win
serie-a,Bologna,Spal,X2,High conf,+75,19.08.18,win
serie-a,Empoli,Cagliari,<2.5,Low conf,+11,19.08.18,win
serie-a,Sassuolo,Inter,1X,Med conf,+95,19.08.18,win
premier-league,Burnley,Watford,<2.5,Med conf,+29,19.08.18,lose
premier-league,Man City,Huddersfield,1,Med conf,+10,19.08.18,win
premier-league,Brighton,Man United,12,High conf,+34,19.08.18,win
primera-division,Celta,Espanol,1X,Low conf,+18,18.08.18,win
primera-division,Villarreal,Sociedad,12,Low conf,+22,18.08.18,win
primera-division,Barcelona,Alaves,1,High conf,+84,18.08.18,win
liga-1,Astra,Calarasi,1X,High conf,+26,18.08.18,win
liga-1,FC Viitorul,Gaz Metan Medias,<2.5,Low conf,+20,18.08.18,win
primeira-liga,Chaves,Portimonense,12,Med conf,+58,18.08.18,win
primeira-liga,Boavista,Benfica,X2,Med conf,+33,18.08.18,win
primeira-liga,Sp Lisbon,Setubal,1,High conf,+84,18.08.18,win
jupiler-league,Lokeren,Standard,1X,Med conf,+85,18.08.18,lose
jupiler-league,Club Brugge,Waregem,1X,Med conf,+47,18.08.18,win
jupiler-league,Waasland-Beveren,St Truiden,1,Med conf,+62,18.08.18,lose
jupiler-league,Kortrijk,Oostende,X,Med conf,+194,18.08.18,lose
ligue-1,Guingamp,Paris SG,X,Low conf,+22,18.08.18,lose
ligue-1,Amiens,Montpellier,>1.5,Med conf,+39,18.08.18,win
ligue-1,Caen,Nice,>1.5,Med conf,+42,18.08.18,win
ligue-1,Dijon,Nantes,1,Med conf,+45,18.08.18,win
ligue-1,Monaco,Lille,1X,Low conf,+16,18.08.18,win
ligue-1,Rennes,Angers,X2,Med conf,+42,18.08.18,lose
super-lig,Bursaspor,Kayserispor,12,Low conf,-13,18.08.18,lose
super-lig,Yeni Malatyaspor,Fenerbahce,12,Low conf,-13,18.08.18,win
championship,Bristol City,Middlesbrough,1,Med conf,+30,18.08.18,lose
championship,Hull,Blackburn,12,Low conf,-4,18.08.18,win
championship,Ipswich,Aston Villa,1,Med conf,+42,18.08.18,lose
championship,Leeds,Rotherham,1X,Low conf,-4,18.08.18,win
championship,Millwall,Derby,>2.5,Low conf,-3,18.08.18,win
championship,Reading,Bolton,1,Med conf,+42,18.08.18,lose
championship,Sheffield United,Norwich,12,Low conf,-4,18.08.18,win
championship,West Brom,QPR,2,Low conf,-4,18.08.18,lose
championship,Wigan,Nott'm Forest,12,Low conf,-4,18.08.18,lose
championship,Preston,Stoke,X2,Med conf,+61,18.08.18,win
serie-a,Chievo,Juventus,2,Med conf,+7,18.08.18,win
serie-a,Lazio,Napoli,2,Med conf,+54,18.08.18,win
premier-league,Cardiff,Newcastle,1X,High conf,+77,18.08.18,win
premier-league,Everton,Southampton,2,High conf,+75,18.08.18,lose
premier-league,Leicester,Wolves,1,Med conf,+62,18.08.18,win
